Activity,Site_Number,Account_Name,FE,SSO,Lat,Lon,Dup Count,NewLat,NewLon
1-228920055184,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,28,40.77883948,-73.95812099
1-228920055184,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,29,40.77888239,-73.95905553
1-230248780770,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,30,40.77926285,-73.95937993
1-227086167546,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,31,40.77941495,-73.95879594
1-230808333906,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,32,40.77939884,-73.95784047
1-230808333906,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,33,40.77922934,-73.95739199
1-230808333906,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,34,40.77906229,-73.95786282
1-230808333906,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,35,40.77925126,-73.95882008
1-230808333906,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Kwakye,212028734,40.778032,-73.9555919,36,40.77940641,-73.95938368
1-228517282341,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Gass,212044304,40.778032,-73.9555919,37,40.77958508,-73.95903544
1-227786273929,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Rusko,212058138,40.778032,-73.9555919,38,40.77962301,-73.95809553
1-230950173661,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Polcwiartek,212058946,40.778032,-73.9555919,39,40.77948533,-73.9574281
1-230950173661,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Polcwiartek,212058946,40.778032,-73.9555919,40,40.77949861,-73.95764679
1-230950173661,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Polcwiartek,212058946,40.778032,-73.9555919,41,40.77943453,-73.95855052
1-227666783527,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Bonello,212462453,40.778032,-73.9555919,42,40.779552,-73.95930842
1-230824095851,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Baez,212551774,40.778032,-73.9555919,43,40.77974302,-73.95922367
1-230824095851,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Baez,212551774,40.778032,-73.9555919,44,40.77983197,-73.9583742
1-230824095851,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Baez,212551774,40.778032,-73.9555919,45,40.77993706,-73.957541
1-230824095851,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Baez,212551774,40.778032,-73.9555919,46,40.77974556,-73.95749011
1-232877395747,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Richard,212571364,40.778032,-73.9555919,47,40.77963353,-73.95826833
1-225658313372,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,DeMaio,212572691,40.778032,-73.9555919,48,40.77970397,-73.95916015
1-228333676901,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,DeMaio,212572691,40.778032,-73.9555919,49,40.77989212,-73.95934565
1-225656076064,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,50,40.78022499,-73.95865427
1-230828973083,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,51,40.78018043,-73.95772167
1-227649702607,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,52,40.7799994,-73.95740527
1-227649702607,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,53,40.77984834,-73.95799597
1-227672065791,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,54,40.77986614,-73.95895069
1-227770688788,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,55,40.78023643,-73.95939166
1-227770688788,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,56,40.78040264,-73.95891345
1-229728093244,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,57,40.78041197,-73.95795574
1-230234334031,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Castro,212589148,40.778032,-73.9555919,58,40.78025584,-73.95739903
1-227675464751,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Pedroso,212001698,40.7749467,-73.9622031,0,40.7751467,-73.9650031
1-228383368408,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Pedroso,212001698,40.7749467,-73.9622031,1,40.77505476,-73.96416163
1-228670438041,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Pedroso,212001698,40.7749467,-73.9622031,2,40.77486347,-73.9640938
1-225594567030,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Brecher,212010282,40.7749467,-73.9622031,3,40.7747487,-73.96486198
1-230796365358,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Brecher,212010282,40.7749467,-73.9622031,4,40.77481597,-73.9657599
1-249843903007,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Brecher,212010282,40.7749467,-73.9622031,5,40.77520343,-73.96596202
1-249843903007,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Brecher,212010282,40.7749467,-73.9622031,6,40.77533873,-73.96528252
1-229751432104,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Brecher,212010282,40.7749467,-73.9622031,7,40.77529748,-73.96434611
1-228491024788,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Rijo,212028756,40.7749467,-73.9622031,8,40.7751176,-73.96401374
1-233072812921,438925,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES,Bonello,212462453,40.7749467,-73.9622031,9,40.77496447,-73.96459098
1-230791958545,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Pedroso,212001698,#N/A,#N/A,0,#N/A,#N/A
1-228500764607,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,1,#N/A,#N/A
1-228500764607,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,2,#N/A,#N/A
1-228523565457,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,3,#N/A,#N/A
1-228523565457,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,4,#N/A,#N/A
1-2ZCTESN7,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,5,#N/A,#N/A
1-228125760562,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,6,#N/A,#N/A
1-234943901764,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,7,#N/A,#N/A
1-234943901764,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,8,#N/A,#N/A
1-234943901764,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,9,#N/A,#N/A
1-233531719221,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,10,#N/A,#N/A
1-233531719221,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,11,#N/A,#N/A
1-234281241132,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,12,#N/A,#N/A
1-233915798581,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Santos,212021975,#N/A,#N/A,13,#N/A,#N/A
1-226904983210,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,14,#N/A,#N/A
1-226904983210,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,15,#N/A,#N/A
1-226904983210,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,16,#N/A,#N/A
1-227559808409,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,17,#N/A,#N/A
1-227816940514,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,18,#N/A,#N/A
1-227816940514,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,19,#N/A,#N/A
1-227816940514,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,20,#N/A,#N/A
1-227816940514,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Baker,212026295,#N/A,#N/A,21,#N/A,#N/A
1-229224658309,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,22,#N/A,#N/A
1-234264225751,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,23,#N/A,#N/A
1-234328633681,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,24,#N/A,#N/A
1-230792375250,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,25,#N/A,#N/A
1-230802605443,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,26,#N/A,#N/A
1-230792886721,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,27,#N/A,#N/A
1-226402496352,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Rijo,212028756,#N/A,#N/A,28,#N/A,#N/A
1-225585348719,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Gass,212044304,#N/A,#N/A,29,#N/A,#N/A
1-233938132071,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Gass,212044304,#N/A,#N/A,30,#N/A,#N/A
1-233938132071,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Gass,212044304,#N/A,#N/A,31,#N/A,#N/A
1-227025471499,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Gass,212044304,#N/A,#N/A,32,#N/A,#N/A
1-227025471499,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Gass,212044304,#N/A,#N/A,33,#N/A,#N/A
1-227267917102,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Bonello,212462453,#N/A,#N/A,34,#N/A,#N/A
1-230792387360,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Richard,212571364,#N/A,#N/A,35,#N/A,#N/A
1-233625921281,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Richard,212571364,#N/A,#N/A,36,#N/A,#N/A
1-230792387586,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Richard,212571364,#N/A,#N/A,37,#N/A,#N/A
1-233625995641,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Richard,212571364,#N/A,#N/A,38,#N/A,#N/A
1-233837973908,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,DeMaio,212572691,#N/A,#N/A,39,#N/A,#N/A
1-227672590914,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Mineweaser,212587842,#N/A,#N/A,40,#N/A,#N/A
1-231639299831,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Mineweaser,212587842,#N/A,#N/A,41,#N/A,#N/A
1-233621554431,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Mineweaser,212587842,#N/A,#N/A,42,#N/A,#N/A
1-233621941361,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Mineweaser,212587842,#N/A,#N/A,43,#N/A,#N/A
1-225588007449,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Castro,212589148,#N/A,#N/A,44,#N/A,#N/A
1-228635123081,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Castro,212589148,#N/A,#N/A,45,#N/A,#N/A
1-231639294421,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Grabias,212605639,#N/A,#N/A,46,#N/A,#N/A
1-227103078515,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Grabias,212605639,#N/A,#N/A,47,#N/A,#N/A
1-227102285790,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Grabias,212605639,#N/A,#N/A,48,#N/A,#N/A
1-227102285790,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Grabias,212605639,#N/A,#N/A,49,#N/A,#N/A
1-233621624841,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Sheil,212633946,#N/A,#N/A,50,#N/A,#N/A
1-233622068241,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Sheil,212633946,#N/A,#N/A,51,#N/A,#N/A
1-206450223996,440030,MT SINAI BETH ISRAEL PHILLIPS AMBULATORY CARE CENTER,Vendor Management Team,VENDOR_MGMNT_TEAM,#N/A,#N/A,52,#N/A,#N/A
1-232005591471,440668,EAST SIDE MED & CARDIOVASCULAR,Kwakye,212028734,40.7684367,-73.9620319,0,40.7686367,-73.9648319
1-232874583901,440668,EAST SIDE MED & CARDIOVASCULAR,Polcwiartek,212058946,40.7684367,-73.9620319,1,40.76854476,-73.96399043
1-228411330661,440668,EAST SIDE MED & CARDIOVASCULAR,DeMaio,212572691,40.7684367,-73.9620319,2,40.76835347,-73.9639226
1-225654599597,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,3,40.7682387,-73.96469078
1-227645136921,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,4,40.76830597,-73.9655887
1-233462357991,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,5,40.76869343,-73.96579082
1-225653145316,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,6,40.76882873,-73.96511132
1-233393088591,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,7,40.76878748,-73.96417491
1-233393088591,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,8,40.7686076,-73.96384254
1-234059602478,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,9,40.76845447,-73.96441978
1-234226898557,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,10,40.76866889,-73.96537592
1-235076137951,440668,EAST SIDE MED & CARDIOVASCULAR,Tang,212591122,40.7684367,-73.9620319,11,40.76883759,-73.96583189
1-227353166435,442732,WESTSIDE RADIOLOGY ASSOC PC,Rijo,212028756,#N/A,#N/A,0,#N/A,#N/A
1-228597018321,442732,WESTSIDE RADIOLOGY ASSOC PC,Rijo,212028756,#N/A,#N/A,1,#N/A,#N/A
1-228686776101,447002,EAST RIVER MEDICAL IMAGING PC,Kratina,212001374,40.7665605,-73.9523301,0,40.7667605,-73.9551301
1-229051349604,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,1,40.76666856,-73.95428863
1-228826838071,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,2,40.76647727,-73.9542208
1-235579241201,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,3,40.7663625,-73.95498898
1-234343787534,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,4,40.76642977,-73.9558869
1-234343787534,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,5,40.76681723,-73.95608902
1-228646352191,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,6,40.76695253,-73.95540952
1-228646352191,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,7,40.76691128,-73.95447311
1-228820973769,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,8,40.7667314,-73.95414074
1-228915786119,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,9,40.76657827,-73.95471798
1-228995733262,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,10,40.76679269,-73.95567412
1-230010063998,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,11,40.76696139,-73.95613009
1-234597857031,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,12,40.76712927,-73.95566667
1-234435352479,447002,EAST RIVER MEDICAL IMAGING PC,Pedroso,212001698,40.7665605,-73.9523301,13,40.76714199,-73.95470993
1-228809464761,447002,EAST RIVER MEDICAL IMAGING PC,Richard,212571364,40.7665605,-73.9523301,14,40.76698785,-73.95413949
1-228649414442,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,15,40.76700856,-73.95447981
1-228649414442,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,16,40.76696897,-73.955418
1-234208513373,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,17,40.76710547,-73.9560915
1-234208513373,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,18,40.76729256,-73.95588109
1-234208513373,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,19,40.76735824,-73.95498022
1-234208513373,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,20,40.76744212,-73.95421715
1-235077176811,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,21,40.76725095,-73.95429344
1-234452439181,447002,EAST RIVER MEDICAL IMAGING PC,DeMaio,212572691,40.7665605,-73.9523301,22,40.76716051,-73.95513895
1-234610969911,447002,EAST RIVER MEDICAL IMAGING PC,Mineweaser,212587842,40.7665605,-73.9523301,23,40.76725393,-73.95597632
1-229836382641,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,0,40.8428267,-73.9473555
1-229836382641,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,1,40.84273476,-73.94651403
1-226860267068,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,2,40.84254347,-73.9464462
1-227010753488,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,3,40.8424287,-73.94721438
1-227010753488,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,4,40.84249597,-73.9481123
1-227010753488,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,5,40.84288343,-73.94831442
1-227548163269,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,6,40.84301873,-73.94763492
1-229052395083,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,7,40.84297748,-73.94669851
1-234015065961,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,8,40.8427976,-73.94636614
1-234015065961,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,9,40.84264447,-73.94694338
1-234631015940,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,10,40.84285889,-73.94789952
1-234631015940,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,11,40.84302759,-73.94835549
1-229055323976,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,12,40.84319547,-73.94789207
1-229055323976,450319,NEW YORK STATE PSYCH INSTITUTE,Cabezas,212022376,40.8426267,-73.9445555,13,40.84320819,-73.94693533
1-229774922291,450319,NEW YORK STATE PSYCH INSTITUTE,Guerreiro,212056749,40.8426267,-73.9445555,14,40.84305405,-73.94636489
1-229774922291,450319,NEW YORK STATE PSYCH INSTITUTE,Guerreiro,212056749,40.8426267,-73.9445555,15,40.84307476,-73.94670521
1-229815228621,450319,NEW YORK STATE PSYCH INSTITUTE,Castro,212589148,40.8426267,-73.9445555,16,40.84303517,-73.9476434
1-233842076588,450319,NEW YORK STATE PSYCH INSTITUTE,Castro,212589148,40.8426267,-73.9445555,17,40.84317167,-73.9483169
1-229789384601,450319,NEW YORK STATE PSYCH INSTITUTE,Bayron,212591103,40.8426267,-73.9445555,18,40.84335876,-73.94810649
1-230793567809,458010,WEILL CORNEL MEDICAL COLLEGE,Tang,212591122,40.7646404,-73.9540279,0,40.7648404,-73.9568279
1-233966777124,458010,WEILL CORNEL MEDICAL COLLEGE,Tang,212591122,40.7646404,-73.9540279,1,40.76474846,-73.95598643
1-227116778001,458215,METROPOLITAN HOSPITAL CENTER,Prantil,212001162,40.7852328,-73.945029,0,40.7854328,-73.947829
1-227116778001,458215,METROPOLITAN HOSPITAL CENTER,Prantil,212001162,40.7852328,-73.945029,1,40.78534086,-73.94698753
