Address,Account #,Account Name,Title Owner Account #,Physical Loc Site #,Lat ,Lon
"993 PARK AVE, New York, NY 10028",1228756,MANHATTAN WOMENS HEALTH OB GYN PC,1228756,1707952,,
"108 E 66TH ST STE 1B, New York, NY 10065",1228756,MANHATTAN WOMENS HEALTH OB GYN PC,1228756,1510742,,
"103 E 84TH ST, New York, NY 10028",1236656,NEW YORK OBSTETRICS AND GYNECOLOGY PC,1-1NFW5,1614543,,
"551 5TH AVE RM 525, New York, NY 10176",1249920,EMPIRE PHYSICAL MEDICINE & PAIN MANAGEMENT,1249920,1529846,,
"751 2ND AVE, New York, NY 10017",1249928,REMOTE DIAGNOSTIC IMAGING LLC,1249928,1528691,,
"115 E 67TH ST, New York, NY 10065",1250505,ROBBI KEMPNER MD FACS PC,1-1NFW5,3159451,,
"410 W 55TH ST, New York, NY 10019",1252184,BLUEPEARL MANHATTAN,1029694,1578432,,
"330 W 58TH ST STE 613, New York, NY 10019",1258060,REPRODUCTIVE CARE OF NY PC,1258060,5464637,,
"62 E 88TH ST, New York, NY 10128",1264338,EASTSIDE MEDICAL RADIOLOGY,1264338,1540402,,
"1440 YORK AVE STE P9, New York, NY 10075",1265522,CRAIG W WARSCHAUER MD,1265522,1543202,,
"1775 YORK AVE OFC 1P, New York, NY 10128",1269392,AMERICAN ACCESS CARE LLC,966667,1784446,,
"200 RIVERSIDE BLVD STE 15D, New York, NY 10069",1270963,HALEH MILANI MD,1270963,1634993,,
"1305 YORK AVE, New York, NY 10021",1276771,WEILL CORNELL MEDICAL COLLEGE,1276771,1935311,,
"139 CENTRE ST STE 307, New York, NY 10013",1284605,CHINATOWN CARDIOLOGY PC,1284605,1555275,,
"132 BOWERY, New York, NY 10013",1289689,ADVANCED BODY IMAGING ASSOCIATES LLC,1289689,1559300,,
"1050 5TH AVE, New York, NY 10028",1315032,ELIZABETH A POYNOR MD PLLC,1315032,1919377,,
"1440 YORK AVE, New York, NY 10075",1317421,KATHY PLESSER MD PLLC,409033,1605180,,
"128 MOTT ST STE 501, New York, NY 10013",1322888,PORTABLE X RAY OF ARIZONA LLC,1322888,1843602,,
"1123 PARK AVE, New York, NY 10128",1331996,BRASNER & BLUMBERG MD LLP,1331996,1673356,,
"650 1ST AVE, New York, NY 10016",1337752,BALA R SUBRAMANYAM RADIOLOGY,1337752,1692812,,
"139 CENTRE ST STE 703, New York, NY 10013",1343828,CHINA TOWN KIDNEY CARE PLLC,1343828,1698579,,
"4405 BROADWAY, New York, NY 10040",1348389,BROADWAY MEDICAL & DENTAL,1348389,2232815,,
"936 5TH AVE, New York, NY 10021",1348398,LAUREN FEIT MD,1348398,1705019,,
"620 COLUMBUS AVE, New York, NY 10024",1358847,CHEN & MORGAN OBGYN WESTSIDE PLLC,409033,4815637,,
"240 W 98TH ST APT 1E, New York, NY 10025",1361105,ASTER OB GYN PC,1361105,1687466,,
"425 E 61ST ST FL 11, New York, NY 10065",1361127,IRIS CANTOR WOMENS HEALTH CENTER,1361127,1733090,,
"18TH AND 2ND AVE, New York, NY 10003",1363099,NYU HOSPITAL FOR JOINT DISEASE,1363099,1647114,,
"666 GREENWICH ST STE 843, New York, NY 10014",1367319,DORSTEN RADIOLOGY PC,1367319,1732208,,
"230 W 17TH ST, New York, NY 10011",1378495,CHELSEA IMAGING HOLDINGS LLC,1378495,1669861,,
"350 5TH AVE STE 3304, New York, NY 10118",1378696,WALTER MIZELL INC,1-1NFW5,3194920,,
"3340 BROADWAY, New York, NY 10031",1388834,CARDIOLOGY UNLIMITED PC,1388834,1926733,,
"333 E 34TH ST, New York, NY 10016",1390101,ARTHRITIS & RHEUMATOLOGY ASSOCIATES LLP,1390101,1855677,,
"8 CHATHAM SQ STE 800, New York, NY 10038",1390500,WUHUA JING MD PHD PC,1-1NFW5,3242030,,
"150 W 56TH ST APT 4403, New York, NY 10019",1397172,RON E LEV MD PC,342863,1842700,,
"425 W 59TH ST FL 10, New York, NY 10019",1397586,HEAD & NECK SURGICAL GROUP LLC,1397586,2582151,,
"525 E 71ST ST STE 114, New York, NY 10021",1404681,SCOTT RODEO MD,1-1NFW5,3242204,,
"408 BROADWAY STE 410, New York, NY 10013",1407292,TRIBECCA ONCOLOGY,1407292,1863581,,
"425 5TH AVE, New York, NY 10016",1410640,GEOFFREY SHER MD PC,2000091,2808239,,
"22 W 21ST ST STE 400, New York, NY 10010",1412556,SPORTS MEDICINE AT CHELSEA PLLC,1412556,1827929,,
"343 W 58TH ST STE 11, New York, NY 10019",1412602,THOMAS M NOVELLA DPM,1412602,1735424,,
"1192 PARK AVE, New York, NY 10128",1427592,JEFFREY I MECHANICK MD & ELISE M BRETT MD PC,1427592,3041806,,
"124 W 60TH ST APT 35D, New York, NY 10023",1437344,EXPERT ULTRASOUND DIAGNOSTICS LLC,1437344,1889243,,
"227 E 56TH ST STE 203, New York, NY 10022",1442500,DOMINICK CANNAVO MD,1442500,1959865,,
"100 E 77TH ST, New York, NY 10075",145447,LENOX HILL HOSPITAL,1017979,535274,,
"210 E 64TH STREET, New York, NY 10021",145447,LENOX HILL HOSPITAL,1017979,883617,,
"462 FIRST AVE, New York, NY 10016",145459,BELLEVUE HOSPITAL CENTER,1115722,1528761,,
"55 E 86TH ST, New York, NY 10028",145666,EAST SIDE PHYSICIANS,145666,564702,,
"170 WILLIAM ST, New York, NY 10038",145784,NEW YORK PRESBYTERIAN LOWER MANHATTAN HOSPITAL,1387550,1370090,,
"523 E 72ND STREET, New York, NY 10021",145794,HOSPITAL FOR SPECIAL SURGERY,319222,533026,,
"540 E 71ST ST, New York, NY 10021",145794,HOSPITAL FOR SPECIAL SURGERY,319222,617887,,
"145 E 32ND ST 2ND FL, New York, NY 10016",145797,NEW YORK CARDIAC DIAGNOSTIC CENTER,145797,541678,,
"425 E 61ST ST, New York, NY 10065",145833,NEW YORK CARDIOLOGY,145833,539807,,
"32 E 31ST ST, New York, NY 10016",145873,PRECISION HEALTH INC,145873,531165,,
"20 5TH AVE APT 1A, New York, NY 10011",1461649,LOUIS A KATZ MD,1461649,1788638,,
"180 FT WASHINGTON AVE #9-906, New York, NY 10032",146262,COLUMBIA UNIVERSITY HOSPITAL,1008439,532354,,
"1136 5TH AVE, New York, NY 10128",146315,SULLUM & ENGELBERTS MD,146315,531663,,
"211 E 51ST ST, New York, NY 10022",1463630,ROBERT SEGAL MD,1157433,1894404,,
"185 CANAL ST FRNT 6, New York, NY 10013",146527,SHIEH WEI-YUAN MD,146527,543099,,
"622 W 168TH ST, New York, NY 10032",146642,COLUMBIA UNIVERSITY,146642,1626868,,
"710 W 68TH ST 10TH FL, New York, NY 10022",146642,COLUMBIA UNIVERSITY,146642,535253,,
"710 W 168TH ST RM 612, New York, NY 10032",146642,COLUMBIA UNIVERSITY,146642,1582322,,
"710 W 168TH ST, New York, NY 10032",146642,COLUMBIA UNIVERSITY,146642,1332030,,
"123 LAFAYETTE ST FL 6TH, New York, NY 10013",146774,MANUEL C SY MD PC,146774,527361,,
"506 LENOX AVE, New York, NY 10037",146809,HARLEM HOSPITAL CENTER,146809,1375915,,
"210 E 64TH ST, New York, NY 10021",146823,MANHATTAN EYE EAR & THROAT HOSPITAL,1017979,535280,,
"3959 BROADWAY CHN 2-263, New York, NY 10032",147097,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1-1NFW5,1645551,,
"630 W 168TH ST PH8W RM 864, New York, NY 10032",147097,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,147097,1786715,,
"16 E 60TH ST, New York, NY 10022",147143,COLUMBIA UNIVERSITY,1-1WCVQSZB,814441,,
"21 AUDUBON AVE 2ND FL RM 209, New York, NY 10032",147143,COLUMBIA UNIVERSITY,146642,1831908,,
"630 W 168TH ST PH 16-16, New York, NY 10032",147143,COLUMBIA UNIVERSITY,146642,1647567,,
"1050 RIVERSIDE DR, New York, NY 10032",147143,COLUMBIA UNIVERSITY,147143,1679353,,
"1790 BROADWAY FL 2, New York, NY 10019",147143,COLUMBIA UNIVERSITY,147143,1637868,,
"520 E 70TH ST, New York, NY 10021",147226,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,1276771,895818,,
"505 E 70TH ST, New York, NY 10021",147226,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,147226,540748,,
"510 E 70TH ST, New York, NY 10021",147226,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,147226,540747,,
"50 W 58TH ST, New York, NY 10019",157106,HADASSAH MEDICAL RELIEF ASSOCIATION,157106,539893,,
"5 E 98TH ST, New York, NY 10029",157121,MOUNT SINAI FACULTY PRACTICE,203566,565123,,
"425 W 59TH ST, New York, NY 10019",157162,MOUNT SINAI WEST,1427665,534295,,
"1000 10TH AVE STE 10G, New York, NY 10019",157162,MOUNT SINAI WEST,145910,3138559,,
"445 W 58TH ST, New York, NY 10022",157162,MOUNT SINAI WEST,145910,534290,,
"1000 10TH AVE, New York, NY 10019",157162,MOUNT SINAI WEST,157162,534289,,
"40 WALL ST FL 28, New York, NY 10005",1607598,CENEGENICS OF NEW YORK CITY LLC,1607598,2190361,,
"108 E 96TH ST, New York, NY 10128",1613333,ARTHUR KENNISH MD PHD,1613333,1799210,,
"1820 MADISON AVE, New York, NY 10035",1616759,MADISON AVENUE RADIOLOGY CENTER,1616759,2706422,,
"1825 MADISON AVE, New York, NY 10035",1616759,MADISON AVENUE RADIOLOGY CENTER,1616759,1804142,,
"217 GRAND ST STE 6, New York, NY 10013",1617519,RAYMOND L YUNG MD PC,1617519,2709013,,
"30 CENTRAL PARK S, New York, NY 10019",1620928,PHYSIOAGE MEDICAL GROUP,1620928,1809554,,
"343 E 30TH ST, New York, NY 10016",1625036,SARA B KRAMER MD,1625036,1815893,,
"131 E 65TH ST, New York, NY 10065",1626253,COMPREHENSIVE GENETICS,1626253,1816936,,
"55 FIRST AVENUE, New York, NY 10016",162980,NYU MEDICAL CENTER,300427,540636,,
"110 LAFAYETTE ST FL 3RD, New York, NY 10013",163121,MANHATTAN CARDIAC MEDICAL PC,163121,539724,,
"70 BOWERY STE 303, New York, NY 10013",1632454,HEART & VASCULAR CARE,1632454,1827417,,
"230 CENTRAL PARK S, New York, NY 10019",163281,SATWANT DHAMOON MD,163281,903683,,
"525 E 71ST ST, New York, NY 10021",1639401,BRIAN HALPERN MD,1639401,1843764,,
"1787 MADISON AVE STE 50C, New York, NY 10035",1657013,MADISON CARDIAC IMAGING,1657013,1845911,,
"975 PARK AVE, New York, NY 10028",1658585,HANDSPORT SURGERY INSTITUTE,1658585,1848434,,
"343 W 145TH ST, New York, NY 10031",1659430,FELDMAN MEDICAL PC,1659430,1849447,,
"150 E 32ND ST FL 1, New York, NY 10016",1661383,KIPS BAY GYNECOLOGY LLC,318083,1855191,,
"15 W 44TH ST FL 10, New York, NY 10036",1665372,NIHON MEDICAL GROUP PC,1665372,1859920,,
"235 E 67TH ST RM 204, New York, NY 10065",1666275,JOAN L KENT MD,409033,3012228,,
"265 CANAL ST STE 308, New York, NY 10013",1667345,BRYAN OYOUNG MD,1667345,1861825,,
"106 E 35TH ST, New York, NY 10016",1667610,ACCELERATION MANAGEMENT GROUP,1-1NFW5,1862065,,
"343 W 58TH ST, New York, NY 10019",1670624,PHILIP A BAUMAN MD,1670624,1868754,,
"461 PARK AVE S STE 200, New York, NY 10016",1679875,TESSLER DEVELOPMENTS LLC,1679875,1878889,,
"139 CENTRE ST STE PH102, New York, NY 10013",1680450,ROSH MATERNAL FETAL MEDICINE PLLC,1136512,1880651,,
"315 MADISON AVE STE 1200, New York, NY 10017",1680793,ALICIA RUSSELL CARTER MD PC,1680793,1880209,,
"122 W 70TH ST, New York, NY 10023",1682460,HAMID BEHZADI MD,1682460,1882378,,
"339 E 28TH ST, New York, NY 10016",1684240,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,2084560,1884509,,
"31ST STREET AND EAST RIVER DR, New York, NY 10016",1684240,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,698214,1930941,,
"354 E 76TH ST, New York, NY 10021",1686914,JOSHUA DONIS MD,1686914,1889019,,
"315 W 57TH ST STE 204, New York, NY 10019",1696176,ST LUKES ROOSEVELT HOSPITAL CENTER,157162,1904482,,
"33 W 125TH ST, New York, NY 10027",1696195,HEMANT PATEL MD,1696195,1905149,,
"217 GRAND ST FL 9, New York, NY 10013",1699626,KENNETH C TAM MD FACC PC,1119913,1917704,,
"180 FORT WASHINGTON AVE # 736, New York, NY 10032",1699811,COLUMBIA UNIVERSITY HARKNESS PAVILION,916025,2162348,,
"800 2ND AVE RM 815, New York, NY 10017",1702719,NY MIDTOWN OB GYN,1702719,1918776,,
"26 BLEECKER ST, New York, NY 10012",1705478,PLANNED PARENTHOOD OF NEW YORK CITY INC,1705478,1925071,,
"380 2ND AVE STE 1000, New York, NY 10010",1707808,GRAMERCY SURGERY CENTER INC,399835,3141273,,
"10 W 74TH ST APT 1G, New York, NY 10023",1712702,PERSONAL BEST INC,1712702,1937422,,
"303 E 65TH ST, New York, NY 10065",1714338,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,4270543,,
"139 CENTRE ST STE 611, New York, NY 10013",1717422,NG MEDICAL PLLC,1717422,1944471,,
"430 E 59TH ST, New York, NY 10022",1720554,EAST RIVER MEDICAL IMAGING PC,1720547,1947500,,
"3 E 75TH ST, New York, NY 10021",1720560,EAST RIVER MEDICAL IMAGING PC,1720547,1947502,,
"170 E 77TH ST, New York, NY 10075",1723817,ADVANCED CARDIOVASCULAR IMAGING PC,872083,1953473,,
"785 PARK AVE, New York, NY 10021",1726134,JEAN M CHIN MD,301579,1957122,,
"633 3RD AVE, New York, NY 10017",1727201,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,1959545,,
"380 2ND AVE, New York, NY 10010",1727310,GRAMERCY MRI & DIAGNOSTIC RADIOLOGY PC,294023,1959977,,
"575 LEXINGTON AVE, New York, NY 10022",1727390,WEILL CORNELL MEDICAL COLLEGE OF CORNELL UNIVERSITY,1727390,1960168,,
"523 E 72ND ST, New York, NY 10021",1728942,BETH E SHUBIN STEIN MD,1728942,1962820,,
"2315 BROADWAY, New York, NY 10024",1730524,WEILL CORNELL IMAGING AT NEW YORK PRESBYTERIAN,1730524,1966187,,
"530 E 76TH ST APT 20J, New York, NY 10021",1732991,QIN MEDICAL PC,1732991,1972287,,
"112 E 61ST ST, New York, NY 10065",1734178,ALEXANDER KULICK MD INTEGRATIVE MEDICAL ASSOCIATE PC,1734178,1974988,,
"300 E 66TH ST, New York, NY 10065",1737193,EVYLYN H LAUDER BREAST CENTER OF MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,1982811,,
"170 E 77TH ST LOWR LEVEL, New York, NY 10075",1741499,EAST SIDE MEDICAL RADIOLOGY,1741499,1985948,,
"5 LISPENARD ST, New York, NY 10013",1744253,TRIBECA SOHO ANIMAL HOSPITAL,1744253,1991392,,
"638 COLUMBUS AVE, New York, NY 10024",1744937,MOUNT SINAI MEDICAL CENTER,1744937,1992852,,
"147 W 15TH ST, New York, NY 10011",1750085,UNION SQUARE IMAGING WEST,1750085,2003127,,
"3030 BROADWAY, New York, NY 10027",1752535,DODGE PHYSICAL FITNESS CENTER,1752535,2017732,,
"12 E 52ND ST, New York, NY 10022",1756551,SALERNO COMPLEMENTARY MEDICINE PLLC,1756551,2018991,,
"4448 BROADWAY, New York, NY 10040",1756769,MADISON AVENUE RADIOLOGY CENTER,1616759,2017610,,
"177 E 87TH ST STE 507, New York, NY 10128",1766396,MOUNT SINAI MANHATTAN HEART,1766396,2090242,,
"115 E 23RD ST FL 10, New York, NY 10010",1766678,GRAMERCY GYNECOLOGY PC,1766678,2048481,,
"115 E 67TH ST APT 1A, New York, NY 10065",1771337,ROSH MATERNAL FETAL MEDICINE PLLC,1771337,2078337,,
"111 JOHN ST STE 1450, New York, NY 10038",1771912,RON E LEV MD PC,1771912,3069396,,
"1752 PARK AVE, New York, NY 10035",1772527,HENRY J CARTER SPECIALTY HOSPITAL & NURSING FACILITY,1115722,2084930,,
"700 COLUMBUS AVE, New York, NY 10025",1775288,GOTHAM VETERINARY CENTER PC,1775288,2101461,,
"210 E 86TH ST FL 9, New York, NY 10028",1778736,ENT & ALLERGY ASSOCIATES LLP,1778736,2108941,,
"403 E 37TH ST, New York, NY 10016",1782617,RIVERGATE VETERINARY CLINIC PC,1782617,2122604,,
"330 E 17TH ST, New York, NY 10003",1785583,BETH ISRAEL MEDICAL CENTER,146472,2145360,,
"107 E 76TH ST, New York, NY 10021",1785775,LENOX HILL HOSPITAL,1017979,2146980,,
"150 E 71ST ST, New York, NY 10021",1786257,CENTER FOR HUMAN REPRODUCTION,1017979,2300879,,
"38 E 32ND ST, New York, NY 10016",1787358,CITYSCAPE OB GYN PLLC,1787358,2162347,,
"3959 BROADWAY FL 12, New York, NY 10032",1790489,CENTER FOR PRENATAL PEDIATRICS,1790489,2910088,,
"148 MADISON AVE, New York, NY 10016",1793367,CARNEGIE SOUTH IMAGING FOR WOMEN PLLC,1-1NFW5,2191990,,
"912 5TH AVE, New York, NY 10021",1794851,ADAM ROSENBLUTH MD,1794851,2234678,,
"2360 AMSTERDAM AVE APT M1, New York, NY 10033",1798079,AMSTERDAM MEDICAL PRACTICE PLLC,1798079,2260015,,
"90 MAIDEN LN STE 300, New York, NY 10038",1798709,NEW YORK PELVIC PAIN & MINIMALLY INVASIVE GYNECOLOGIC SURGERY PC,1798711,3207777,,
"18 E 41ST ST FL 1, New York, NY 10017",1798711,NEW YORK COMPREHENSIVE WOMENS MEDICAL,1798711,2295215,,
"57 W 57TH ST STE 1201, New York, NY 10019",1801697,INTEGRATIVE PHYSICAL MEDICINE & REHABILITATION PC,1801697,2258776,,
"545 1ST AVE, New York, NY 10016",1802866,NYU SCHOOL OF MEDICINE,146371,2978603,,
"1470 MADISON AVE, New York, NY 10029",1810276,MOUNT SINAI PRIMARY CARE BLDG,157162,2297435,,
"1879 MADISON AVE, New York, NY 10035",1823551,COLER GOLDWATER NORTH SPECIALTY HOSPITAL,1115722,2326900,,
"130 E 77TH ST, New York, NY 10075",1823573,STUART KATCHIS MD PC,1823573,2331615,,
"240 E 38TH ST, New York, NY 10016",1824174,AMBULATORY CARE CENTER,318083,2342514,,
"130 W 79TH ST, New York, NY 10024",1829130,LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES PC,306314,2687188,,
"1450 MADISON AVE FL 1, New York, NY 10029",1830606,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1830606,2362597,,
"39 E BROADWAY # 307, New York, NY 10002",1836474,ZOE ZHECHUN LIU MD,1836474,2641823,,
"1790 BROADWAY, New York, NY 10019",1839507,COLUMBIA OB GYN COLUMBUS CIRCLE,1839507,5613778,,
"755 PARK AVE, New York, NY 10021",1840547,SHEREEN H RUSSELL MD,1840547,2507783,,
"512 E 71ST ST, New York, NY 10021",1841980,NEW YORK PRESBYTERIAN HOSPITAL,1841980,2426468,,
"1468 MADISON AVE, New York, NY 10029",1903427,MOUNT SINAI HOSPITAL,203566,4931525,,
"722 W 168TH ST, New York, NY 10032",1903808,COLUMBIA UNIVERSITY,916025,4387352,,
"135 SPRING ST FL 2, New York, NY 10012",1910481,SPRING OB GYN PC,1910481,3134084,,
"353 E 68TH ST, New York, NY 10065",1913106,MEMORIAL SLOAN KETTERING SIDNEY KIMMEL CENTER FOR PROSTATE & UROLOGIC CANCERS,733150,2808961,,
"3959 BROADWAY, New York, NY 10032",1915062,COLUMBIA UNIVERSITY MEDICAL CENTER,146642,2552728,,
"355 W 52ND ST, New York, NY 10019",1919622,NYU LANGONE MEDICAL CENTER,1802866,4383340,,
"16 E 16TH ST, New York, NY 10003",1926837,INSTITUTE FOR FAMILY HEALTH,128009,4260937,,
"51 W 51ST ST STE 320, New York, NY 10019",1944185,COLUMBIA UNIVERSITY OB GYN MIDTOWN,147097,2688980,,
"2508 ADAM CLAYTON POWELL JR BLVD, New York, NY 10039",1944383,TINY PORTRAITS UPTOWN,1944383,2589765,,
"203 W 12TH ST, New York, NY 10011",1947287,LENOX HILL HOSPITAL CENTER,1017979,2607180,,
"360 E 72ND ST STE A, New York, NY 10021",1955495,BRYAN T KELLY MD,1954581,2636922,,
"1790 BROADWAY FL 4, New York, NY 10019",1958072,COLUMBIA UNIVERSITY FERTILITY CENTER,1958072,2653763,,
"150 AMSTERDAM AVE, New York, NY 10023",1958544,WINTHROP UNIVERSITY HOSPITAL ROBOTIC RADIOSURGERY,146755,2648385,,
"110 E 40TH ST STE 706, New York, NY 10016",1975950,MIDTOWN PREGNANCY SUPPORT CENTER,916589,2677217,,
"530 1ST AVE STE 10N, New York, NY 10016",1976848,STEVEN R GOLDSTEIN MD,1976848,2677745,,
"20 7TH AVE, New York, NY 10011",1978434,CENTER FOR COMPREHENSIVE CARE,1017979,2826269,,
"1ST AVE AT 16TH ST, New York, NY 10003",1979699,JACOB K GOERTZ MD,1979699,2691031,,
"115 E 57TH ST STE 1210, New York, NY 10022",1980078,AINSWORTH INSTITUTE OF PAIN MANAGEMENT,1980078,2694765,,
"210 E 86TH ST RM 402, New York, NY 10028",1980584,KENNETH R MEISLER DPM,1980584,2699832,,
"40 E 84TH ST, New York, NY 10028",1981653,UPPER EAST SIDE GYNECOLOGY,1981653,2701522,,
"217 GRAND ST STE 401, New York, NY 10013",1982572,GEORGE C HALL MD PC,907780,2703317,,
"1421 3RD AVE, New York, NY 10028",1983367,ROSETTA RADIOLOGY PLLC,1983367,2705634,,
"120 E 86TH ST, New York, NY 10028",1984771,LENOX HILL RADIOLOGY ASSOCIATES PC,306314,3076384,,
"155 W 19TH ST FL 4, New York, NY 10011",1986096,BISHER AKIL MD,1986096,2718718,,
"110 E 59TH ST STE 8A, New York, NY 10022",1987371,LENOX HILL HEART & VASCULAR INSTITUTE,1402062,4262009,,
"21 AUDUBON AVE, New York, NY 10032",1991385,AMBULATORY CARE NETWORK,146642,2746660,,
"133 E 58TH ST STE 1002, New York, NY 10022",1991745,INTERMED CARE PC,1991745,2749937,,
"123 W 79TH ST, New York, NY 10024",1992349,NEWAY FERTILITY,1992349,2755488,,
"40 WORTH ST, New York, NY 10013",1993029,WEILL CORNELL MEDICAL COLLEGE,1993029,2841314,,
"462 1ST AVE STE 7N3, New York, NY 10016",1995041,NYU SLEEP DISORDERS CENTER,698214,2773506,,
"110 E 59TH ST RM 10A, New York, NY 10022",1995654,NEW YORK HEAD & NECK NSTITUTE,145447,2782150,,
"800 2ND AVE, New York, NY 10017",1997486,MID MANHATTAN PHYSICIAN SERVICES PC,1997486,2786569,,
"594 BROADWAY STE 1011, New York, NY 10012",1999444,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK LLP,1999444,4280365,,
"156 WILLIAM ST, New York, NY 10038",2002342,WEILL CORNELL MEDICAL COLLEGE,1237797,2826112,,
"219 W 12TH ST, New York, NY 10011",2002543,LENOX HEALTH GREENWICH VILLAGE,1017979,2834244,,
"30 7TH AVE S, New York, NY 10014",2002543,LENOX HEALTH GREENWICH VILLAGE,145447,3072494,,
"51 SAINT NICHOLAS AVE, New York, NY 10026",2004385,HARLEM RHEUMATOLOGY LLC,907780,2857290,,
"251 5TH AVE FL 3, New York, NY 10016",2009220,SYLVIA HESSE MD PC,2009220,2892572,,
"200 W 57TH ST STE 610, New York, NY 10019",2009376,VALLEY PHYSICIANS SERVICES,295880,2892638,,
"425 5TH AVE FL 3, New York, NY 10016",2013534,LIBERA MEDICAL PLLC,2013534,2920704,,
"215 E 95TH ST STE C, New York, NY 10128",2022737,WESTSIDE RADIOLOGY ASSOCIATES PC,306314,2941644,,
"333 E 38TH ST, New York, NY 10016",2022895,NYU CENTER FOR MUSCULOSKELETAL CARE,2022895,2946744,,
"200 W 57TH ST STE 1104, New York, NY 10019",2024562,WALK IN GYN CARE PC,2024562,2980128,,
"62 E 88TH ST FL 2, New York, NY 10128",2028930,CARNEGIE HILL OB GYN PLLC,2028930,2980617,,
"161 FORT WASHINGTON AVE FL 4, New York, NY 10032",2033308,COLUMBIA OB GYN UPTOWN,2033308,3046767,,
